Br- 8.09d-8
Ca++ 6.17d-8
Cl- 7.92d-8
F- 5.74d-8
Fe++ 11.20d-8
Fe+++ 21.17d-8
H+ 36.26d-8
HCO3- 4.61d-8
K+ 7.62d-8
Mg++ 5.50d-8
Na+ 5.19d-8
SO4-- 8.29d-8
